Age,Bonus,ID,Performance_Score,Salary,Years_of_Experience
58,6074,1,1.85,30301,24
48,3137,2,1.12,64602,18
34,5445,3,3.61,96235,4
27,4530,4,2.47,84240,18
40,2286,5,2.9800000000000004,95726,5
58,8052,6,2.89,40492,15
38,4654,7,2.9800000000000004,64602,16
42,8102,8,1.74,80336,1
30,3359,9,4.47,56641,21
30,9105,10,2.9800000000000004,64584,15
43,9636,11,4.08,62745,15
55,7441,12,4.38,53093,9
59,6047,13,4.04,96105,15
41.5,9227,14,3.5,81885,17
22,6203,15,1.52,66631,25
41.5,6074,16,1.13,34014,24
21,6291,17,4.68,41093,4
43,6495,18,3.47,48070,12
49,7284,19,4.19,65777,27
57,8285,20,2.93,86958,26
21,2300,21,1.47,40729,5
40,7869,22,2.9800000000000004,75017,29
52,4097,23,3.74,96320,5
31,5616,24,2.72,57751,11
41.5,1009,25,1.8,84748,28
44,6752,26,2.97,35801,6
46,7295,27,1.26,49190,7
47,5815,28,3.33,79689,24
35,6074,29,2.9800000000000004,80993,14
34,4225,30,4.19,59592,24
22,2316,31,2.24,40647,11
56,6699,32,2.82,38716,13
26,6074,33,1.05,32368,2
40,7674,148.5,2.9800000000000004,36655,15
28,4683,35,2.57,85766,7
41.5,6074,36,2.92,43403,20
37,4273,37,3.4,62097,4
23,8000,38,2.17,40966,27
44,1145,39,3.78,82921,15
33,6010,148.5,4.44,64602,20
28,4040,41,4.12,80300,29
45,1482,42,1.16,52677,22
21,4179,148.5,2.92,85609,21
39,2249,44,1.42,86661,19
47,1630,45,1.97,61024,13
26,9853,46,4.95,83006,14
27,3852,47,1.57,45338,10
54,1987,48,3,98027,11
33,8622,49,3.47,49508,2
36,8327,50,3.81,33051,25
55,9841,51,2.9800000000000004,78747,26
59,2100,148.5,1.04,84021,9
23,7652,53,2.31,96412,17
21,9632,54,3.07,88335,26
25,6074,55,1.35,86179,3
23,6016,56,2.4,62093,24
48,1769,57,1.13,99678,6
37,2343,58,1.31,64602,15
45,5358,59,2.59,47019,5
53,7780,60,1.53,58251,22
29,7602,61,3.27,55945,15
55,3349,62,3.76,62217,23
33,6699,63,4.2,38308,17
50,6074,64,1.8,35949,9
34,2125,148.5,1.67,81990,3
27,7764,66,1.42,31150,20
33,6101,148.5,2.9800000000000004,96617,15
42,8843,148.5,3.83,64602,17
59,1072,69,1.13,76175,29
41.5,6472,70,4.74,37805,27
41.5,6189,71,1.21,35237,10
37,3472,72,3.17,50056,3
43,1707,148.5,2.9800000000000004,75543,15
45,2804,74,2.9800000000000004,86556,18
44,7704,75,3.86,33343,17
48,4713,76,4.21,43500,24
34,6074,77,2.36,83222,3
41.5,3475,78,4.26,59375,3
44,4610,79,1.32,39662,6
26,5255,80,4.58,46964,13
28,8397,81,3.19,89638,24
43,2735,82,4.27,97215,29
20,9258,83,2.81,99042,15
27,8979,84,3.57,64602,25
43,3428,148.5,3.11,64602,9
41.5,6074,86,3.93,39435,4
36,9533,87,1.33,84340,14
27,6074,88,2.9800000000000004,74078,15
54,6291,89,1.99,81293,2
54,3817,90,1.64,64602,11
52,4874,91,2.9800000000000004,59124,9
24,5211,92,2.9800000000000004,73919,24
58,1661,148.5,4.9,65247,3
47,4374,94,2.35,64602,27
41.5,6074,95,1.73,86573,28
41.5,3665,96,4.16,89101,29
27,3493,97,3.63,64602,15
31,7813,98,2.99,53049,3
53,1632,99,3.22,98385,25
52,4083,100,3.88,70158,2
42,4719,101,1.91,95417,12
41.5,8123,102,4.99,53289,10
56,2679,103,4.9,39823,9
54,1236,104,3.6,90160,15
59,8446,105,1.8,64602,8
41,5443,106,3.72,39540,25
46,7770,107,1.29,64602,5
54,7099,108,1.12,34611,11
20,9555,109,2.03,57663,27
54,3368,110,2.85,81991,2
41.5,1285,111,4.47,87679,15
33,1148,112,3.91,60977,15
22,5037,113,3.97,79115,15
20,7549,114,2.7,90890,6
41.5,8121,115,2.38,64602,8
45,5895,116,2.48,48071,27
33,6280,117,4.95,89275,5
58,2012,118,1.16,41938,16
46,3785,119,4.47,65195,26
41.5,4725,120,3.31,34000,18
34,5576,121,2.9800000000000004,68304,15
34,6782,122,3.9,99449,5
45,7257,123,2.95,50764,28
32,3408,124,4.49,68494,16
51,1340,125,4.6,33373,13
58,6074,126,2.69,42161,28
51,6074,127,2.11,57350,5
23,6962,128,3.37,55351,13
49,6299,129,4.65,45305,17
41.5,8574,130,1.84,95953,18
42,6074,131,3.49,87458,8
58,4267,132,3.53,50358,13
34,6074,148.5,3.93,33267,29
